data,Battery,Camera,Performance,Display,Design,Software,Packaging,Price,Warranty,Shop_Service,Shipping,General,Others,Audio,id,num_annotators,manager_reviewed_labels
"chất lượng sản phẩm: hộp bị rách, thiếu manual và phụ kiện. đúng với mô tả: đóng gói trên web khác thực tế. tính năng nổi bật: phụ kiện không đầy đủ. review: thiếu que lấy sim và dây, hộp móp, ship không có thông báo, chăm sóc khách hàng xử lý chậm",,,,,,,Negative,,,Negative,,,,,219548510,3,
tôi đặt điện thoại màu xanh nhạt cửa hàng lại gửi cho tôi màu trắng máy bị bung màn hình,,,,Negative,,,,,,,,,,,219548511,3,
"sản phẩm: sản phẩm giả mạo, sản phẩm không như mô tả sản phẩm không đúng như tôi oder",,,,,,,,,,,,Negative,,,219548512,3,
"chất lượng sản phẩm: kém an toàn. đúng với mô tả: tạm được. tính năng nổi bật: nóng khi sạc. review: vừa sạc vừa sử dụng máy nóng bỏng tay, cảm giác không an toàn chăm sóc khách hàng vô trách nhiệm, thái độ khó chịu",Negative,,,,,,,,,Negative,,,,,219548513,3,
"nhóm màu: đen tuổi thọ pin lâu dài, chất lượng máy ảnh tuyệt vời để chụp lại khoảnh khắc, bộ xử lý helio g85 mạnh mẽ, bảo hành 12 tháng đáng tin cậy, bộ xử lý helio g85 mạnh mẽ, bảo hành 12 tháng đáng tin cậy,",Positive,Positive,Positive,,,,,,Positive,,,,,,219548514,3,
"vớ vẩn gian lận nóng ran, wifi chập",,,,,,,,,,,,Negative,,,219548515,3,
"tính năng nổi bật: ai,120hz,loa vòm,game space đúng với mô tả: yes chất lượng sản phẩm: tuyệt vời mua sử dụng bửa giờ xem ổn không nay mới đăng cho mọi người xem nè",,,,,,,,,,,,Positive,,,219548516,3,
"nhóm màu: đen tuổi thọ pin lâu dài, thiết kế mượt mà và phong cách, trải nghiệm người sử dụng mượt mà và liền mạch, dung lượng lưu trữ rộng rãi 128gb, khe cắm sim kép tiện lợi,",Positive,,,,Positive,,,,,,,,,,219548517,3,
"chất lượng sản phẩm: cửa hàng xóa bình luận tiêu cực trên trang bán hàng. đúng với mô tả: không. tính năng nổi bật: không. review: mình để lại đánh giá 1 sao nêu rõ các điểm yếu của máy, vài hôm sau vào lại thì thấy cửa hàng đã xóa mất bình luận của mình",,,,,,,,,,Negative,,Negative,,,219548518,3,
ship hàng chậm so với giá trị tài sản cao,,,,,,,,Negative,,,,,,,219548519,3,
"chất lượng sản phẩm: rất tốt máy đẹp giá tốt so với chất lượng nvien nhiệt tình, rất đáng",,,,,Positive,,,Positive,,Positive,,,,,219548520,3,
"nhóm màu: xanh dung lượng lưu trữ rộng rãi 128gb, hai khe cắm sim cho tiện lợi, bộ vi xử lý helio g85 mạnh mẽ, màn hình sắc nét với độ phân giải full hd+,",,,Positive,Positive,,,,,,,,,,,219548521,3,
"nhóm màu: xanh ngọc dung lượng: 4gb/64gb nhiều tùy chọn màu sắc phong cách, camera chính 50mp,",,,,,,,,,,,,Neutral,,,219548522,3,
"nhóm màu: xanh chất lượng camera tuyệt vời để ghi lại những khoảnh khắc, thời lượng pin lâu dài,",Positive,Positive,,,,,,,,,,,,,219548523,3,
"nút kẹt ghi 'mượt' nhưng không cảm ứng lag, thao tác chậm,",,,Negative,Negative,,,,,,,,,,,219548524,3,
shipping chậm trễ không bù camera portrait thiếu nét pin sạc lỗi,Negative,Negative,,,,,,,,,,,,,219548525,3,
tổng quan sản phẩm đẹp giá tiền hợp lý khi mua đúng dịp giảm giá. nhưng chỉ đánh giá 4 sao vì còn phải test nhiều.,,,,,Positive,,,Positive,,,,,,,219548526,3,
"màu sắc: xanh biển vật liệu bền và chắc chắn, kết nối mạng 4g nhanh chóng, thiết kế nhỏ gọn và di động, giao diện dễ sử dụng, phích cắm type c tiện lợi,",,,,,Positive,,,,,,,,,,219548527,3,
"nhóm màu: xanh dương dung lượng lưu trữ: 6gb+128gb máy ảnh chất lượng cao cho những bức ảnh tuyệt đẹp, thiết kế mượt mà và phong cách, thiết kế mượt mà và phong cách, tùy chọn màu sắc rực rỡ,",,Positive,,,Positive,,,,,,,,,,219548528,3,
"pin phải sạc 2-3 lần/ngày, rất bất tiện. đóng hàng ko có seal, nghi ngờ bị bóc ra rồi. cskh chỉ trả lời theo kịch bản, ko giải quyết tận gốc.",Negative,,,,,,Negative,,,Negative,,,,,219548529,3,
"giao hàng nhanh, mua tặng phụ huynh hoặc cày game nhẹ hết nước chấm.",,,Positive,,,,,,,,,,,,219548530,3,
nhóm màu: ultramarine dung lượng lưu trữ: 128gb hàng chính hảng giao nhanh. nhân viên giao hàng có bước xác nhận người nhận trước khi giao hàng. rất hài lòng,,,,,,,,,,,,,,,219548531,3,
"đúng với mô tả: tốt tính năng nổi bật: chơi game ổn chất lượng sản phẩm: trước mắt thì tốt mới mua test mấy ngày thấy ổn trong tầm giá, ms đầu tụt pin nhanh nhưng về sau thấy pin trâu hẳn. còn về độ bền thì sử dụng thêm mấy ngày mới biết được",Positive,,Positive,,,,,,,,,,,,219548532,3,
nhóm màu: xanh mua online cũng hồi hộp lắm . mua cho mẹ sử dụng không cần quá nhiều chức năng nhưng hiện tại thấy ổn áp chưa vấn đề gì .,,,,,,,,,,,,Positive,,,219548533,3,
nhóm màu: white dung lượng lưu trữ: 512gb tuỵet,,,,,,,,,,,,Positive,,,219548534,3,
"chất lượng sản phẩm: pin không tương thích với sạc dự phòng. đúng với mô tả: không. tính năng nổi bật: không. review: cắm điện thoại vào cục sạc dự phòng của mình thì không nhận, thử mấy cục khác cũng vậy, rất bất tiện khi đi ra ngoài",Negative,,,,Negative,,,,,,,,,,219548535,3,
variation3: mỹ 2 sim 128gb 98% sản phẩm nhìn chung là đẹp tốt so với giá thành... cảm ơn cửa hàng nhiều,,,,,,,,,,,,Positive,,,219548536,3,
"nhóm màu: đen hiệu suất nhanh chóng và hiệu quả, tuổi thọ pin lâu dài, màn hình sống động với độ phân giải full hd+, khe cắm sim kép tiện lợi,",Positive,,Positive,Positive,,,,,,,,,,,219548537,3,
"nhóm màu: xanh trải nghiệm người sử dụng mượt mà và liền mạch, màn hình sống động với độ phân giải full hd+, màn hình sống động với độ phân giải full hd+, thiết kế mượt mà và phong cách, màn hình sống động với độ phân giải full hd+,",,,,Positive,Positive,,,,,,,,,,219548538,3,
"chất lượng sản phẩm: chăm sóc khách hàng không tin lời khách, đòi hỏi bằng chứng vô lý. đúng với mô tả: không. tính năng nổi bật: không. review: máy thỉnh thoảng bị treo, mình báo lỗi thì chăm sóc khách hàng đòi mình phải quay video đúng lúc máy bị treo mới chịu giải quyết, quá làm khó",,,Negative,,,,,,,Negative,,,,,219548539,3,
"quay video hay bị giật, chống rung kém. khác với mô tả quay mượt. tính năng 4k có giới hạn thật. máy nhanh nóng khi quay dài, đóng gói không an toàn",,Negative,Negative,,,,Negative,,,,,,,,219548540,3,
mình nhận được hàng rồi nhìn chung tốt máy sử dụng mới thì chưa quen vài hôm là tốt,,,,,,,,,,,,Positive,,,219548541,3,
chất lượng sản phẩm: cảm biến tiệm cận hoạt động sai. đúng với mô tả: gọi điện màn hình tắt hoàn toàn. tính năng nổi bật: áp tai vào mà màn hình không tắt. review: hay bị bấm nhầm nút kết thúc cuộc gọi. ship hàng bị thất lạc phải tự đi tìm. rất bực mình,,,Negative,Negative,,,,,,,,,,,219548542,3,
"nhóm màu: xanh bảo hành 12 tháng đáng tin cậy, dung lượng lưu trữ rộng rãi 128gb, tuổi thọ pin lâu dài,",Positive,,,,,,,,Positive,,,,,,219548543,3,
"nhóm màu: đen hiệu suất nhanh chóng và hiệu quả, chất lượng máy ảnh tuyệt vời để chụp lại khoảnh khắc, màn hình sống động với độ phân giải full hd+,",,Positive,Positive,Positive,,,,,,,,,,,219548544,3,
"mua hàng của cửa hàng lần đầu mà ưng bụng dễ sợ, mình được người quen gt mua bên cửa hàng, mua được giá rẻ mà chất lượng tuyệt vời như dẫy thì không còn gì bàn cãi gì, cảm ơn cửa hàng",,,,,,,,Positive,,,,Positive,,,219548545,3,
"chất lượng sản phẩm: loa bị rè âm cao. đúng với mô tả: âm thanh kém. tính năng nổi bật: vỏ nhựa dễ xước. review: hát karaoke bị chói, vỏ bị trầy nhẹ, đóng gói thiếu sách hướng dẫn",,,,,Negative,,Negative,,,,,,,Negative,219548546,3,
"màu sắc: đen phân loại: fullbox mới +sạc 18w mới khui hàng còn nguyên seal,sạc thì hoco 18w.để xử dụng rồi đánh giá",,,,,,,Positive,,,,,Neutral,,,219548547,3,
nhóm màu: màu đen loại: 2sim tính năng:gọi điện nhắn tin chất lượng:tốt,,,,,,,,,,,,Positive,,,219548548,3,
"hàng giao đúng thời gian, hàng đúng như mô tả. đóng gói hàng cẩn thận, không bị mốp méo.",,,,,,,Positive,,,,,,,,219548549,3,
"chất lượng sản phẩm: tốt đúng với mô tả: sai bộ nhớ ,ram máy chủ 128gb/ ram 6g nhưng lại up rom 256gb/ ram 8g, còn lại mọi thứ đều tốt, máy mới, sử dụng mượt, giá rẻ",,,Positive,,,,,Positive,,,,,,,219548550,3,
màu sắc: đen phân loại: nguyên seal +sạc 18w sản phẩm tốt,,,,,,,,,,,,Positive,,,219548551,3,
"tính năng nổi bật: ai đỉnh chất lượng sản phẩm: hàng đẹp đúng với mô tả: hàng chính hãng cửa hàng tư vấn nhiệt tình, sản phẩm tốt đúng với mô tả.",,,,,Positive,Positive,,,,Positive,,,,,219548552,3,
"chất lượng sản phẩm: pin yếu khi bật 5g/stream. đúng với mô tả: runtime quảng cáo sai. tính năng nổi bật: camera có flare khi trời nắng. review: stream 1h pin tụt nhanh, ảnh trời nắng nhiều flare, máy ấm, đóng gói sơ sài, chăm sóc khách hàng hẹn mãi",Negative,Negative,,,,,Negative,,,Negative,,,,,219548553,3,
đã nhận được hàng... giao hàng nhanh chóng. - đóng hàng kĩ càng ...,,,,,,,Positive,,,,,,,,219548554,3,
"cửa hàng chu đáo nhiệt tình, trả lời tn nhanh lẹ, đổi trả sản phẩm cửa hàng hổ trợ tốt. cách phục vụ tận tâm. hy vọng sài tốt sẽ quay lại ủng hộ.",,,,,,,,,,Positive,,,,,219548555,3,
"nhóm màu: đen bảo hành 12 tháng đáng tin cậy, chất lượng máy ảnh tuyệt vời để chụp lại khoảnh khắc, chất lượng máy ảnh tuyệt vời để chụp lại khoảnh khắc, thiết kế mượt mà và phong cách, tuổi thọ pin lâu dài,",Positive,Positive,,,Positive,,,,Positive,,,,,,219548556,3,
"chất lượng sản phẩm: tốn pin. đúng với mô tả: pin kém. tính năng nổi bật: hao pin kinh khủng. review: mở app cơ bản 15 phút đã hao 8% pin, sử dụng cực kì tốn pin. đóng gói rất ẩu, chỉ bọc nilon mỏng. sản phẩm bị trầy xước",Negative,,,,Negative,,Negative,,,,,,,,219548557,3,
"tính năng nổi bật: tốt chất lượng sản phẩm: tốt đúng với mô tả: tốt hơi hoài nghi một chút khở động máy bình thường, unbox bình thường nhưng lúc tải app về thì chờ mãi không tải xuống được, mua từ chiều tầm tối mới tải xong chẳng hiểu nổi rủi ro quá. khuyên mọi người nên kiểm tra kỹ lưỡng",,,,,,Negative,,,,,,,,,219548558,3,
"chất lượng sản phẩm: hiệu năng đồ họa kém, fps tụt nhanh. đúng với mô tả: chơi game nặng không mượt. tính năng nổi bật: không có chế độ tối ưu game tốt. review: lag khi combat, máy nóng, pin tụt, đóng gói mỏng, ship chậm, chăm sóc khách hàng không hoàn tiền",Negative,,Negative,,,,Negative,,,Negative,,,,,219548559,3,
"tính năng nổi bật: triger cảm ứng đúng với mô tả: đúng 😎hàng đóng gói rất đẹp. quả nhiên người bán đã gửi gắm rất nhiều tâm tư và tình cảm trong lúc gói hàng. hộp không có dấu hiệu bị móp, chứng tỏ bộ phận vận chuyển đã nâng như nâng trứng, hứng như hứng hoa. xin nghiêng mình cảm ơn vì tất cả.",,,,,,,Positive,,,,,,,,219548560,3,
"rởm đời bịp bợm lag kinh khủng khi mở app, sạc chậm ù ù mãi không đầy, shipping muộn màng mất cả tuần mới tới nơi",Negative,,Negative,,,,,,,,,,,,219548561,3,
màu sắc: đen phân loại: nguyên seal +sạc 18w mới lấy thấy cũng khá tốt,,,,,,,,,,,,Positive,,,219548562,3,
chất lượng sản phẩm: không tương thích với app ngân hàng của tôi. đúng với mô tả: tương thích hoàn toàn với mọi ứng dụng. tính năng nổi bật: lỗi bảo mật không sử dụng được e-banking. review: không vào được app ngân hàng báo lỗi. hiệu năng tạm ổn pin rất kém. chăm sóc khách hàng hướng dẫn cũng không giải quyết được,Negative,,Neutral,,,Negative,,,,Negative,,,,,219548563,3,
"đúng với mô tả: đúng chất lượng sản phẩm: tốt tính năng nổi bật: tốt sản phẩm sử dụng ổn, mua cho ông bà bố mẹ sử dụng rất tốt, giá cả mềm",,,,,,,,,,,,Positive,,,219548564,3,
sản phẩm mới nguyên siêu. chưa khui hàng new nhận chắc tay rất là ưng ý săn được giá rẻ,,,,,,,Positive,Positive,,,,,,,219548565,3,
"điện thoại sài mượt ngon, sạc 15w siêu nhanh, phản hồi nhanh không chậm trễ, nói chung là rất tốt 👍👍,",Positive,,Positive,,,,,,,Positive,,,,,219548566,3,
"chất lượng sản phẩm: camera quay video micro thu tiếng rất nhỏ. đúng với mô tả: không. tính năng nổi bật: không. review: quay video mà âm thanh thu vào nhỏ xíu, rè và lẫn nhiều tạp âm, gần như không nghe được gì, mic quá tệ",,Negative,,,,,,,,,,,,Negative,219548567,3,
"chỉ mất một ngày để đến chỗ tôi. rất đẹp, sạch sẽ và mới. hàng được bọc đẹp và không có vết sẹo, v.v. chắc chắn giá trị tiền của tôi. hãy thoải mái mua hàng từ người bán. cảm ơn người bán rất nhiều✨👍🏻",,,,,,,Positive,Positive,,,,,,,219548568,3,
chất lượng sản phẩm: good đúng với mô tả: good tính năng nổi bật: tốt không ngờ nó mới không một vết trầu luôn á. rất rẽ . đáng để mua,,,,,,,,Positive,,,,Positive,,,219548569,3,
"chất lượng sản phẩm: tệ tuy có nút tricger để chuyên game nhưng phải nói thật là điện thoại này chơi game rất tệ.bắt sóng wife yếu,load game sau mỗi trận thường đơ màn hình.theo suy luận của mình là điện thoại đã qua xửa chữa hoặc xào nấu.hiện tượng đơ màn hình này thường là ro thay màn rin bằng màn lô giá rẻ.mọi người nên cảnh giác trước khi mua điện thoại cửa hàng này",,,Negative,Negative,,,,,,,,,,,219548570,3,
"màu sắc: bạc phân loại: fullbox mới +sạc 18w tính năng:oke chất lượng:oke chất liệu:oke hàng khá tốt, sử dụng lâu thì mới nhận xét chi tiết hơn được",,,,,,,,,,,,Neutral,,,219548571,3,
"ưu điểm lớn nhất của điện thoại này là giá rẻ và màn hình amoled đẹp hơn hẳn loại ips. các chức năng, cấu hình còn lại đều ổn.",,,Neutral,Positive,,,,Positive,,,,,,,219548572,3,
"nhóm màu: màu xanh lá cây dung lượng lưu trữ: 128gb dung lượng lưu trữ cao, chất lượng camera ấn tượng, màn hình sắc nét,",,Positive,,Positive,,,,,,,,,,,219548573,3,
chất lượng sản phẩm: máy gần như 99% hơi chầy viền cam không vấn đề tính năng nổi bật: loa ấm hay đúng với mô tả: pin ổn đủ sử dụng 4g trong ngày có góp ý cho cửa hàng nên cài bản miui 12.0.x thay vì 12.5.x vì bản này dễ lỗi vặt,Neutral,,,,,,,,,,,,,Positive,219548574,3,
sản phẩm đúng mẫu mã nhưng mua về được đúng 3 ngày là hỏng không sử dụng được anh em cân nhắc trước khi mua,,,,,,,,,,,,Negative,,,219548575,3,
"chất lượng sản phẩm: hiệu năng giảm rõ sau cập nhật. đúng với mô tả: không đúng cam kết ổn định. tính năng nổi bật: cam đêm dễ out nét. review: cập nhật xong giật, ảnh tối out focus, pin yếu, hộp không xốp, ship muộn",Negative,Negative,Negative,,,,Negative,,,,,,,,219548576,3,
màu máy: màu đen sản phẩm: samsung a50s 4/64gb máy tốt lắm cửa hàng nhận máy về sài 10ngày nay đánh giá cho cửa hàng nè .máy mới chuẩn chính hãng sử dụng rất êm .xem fim nghe nhạc chuẩn .nói chung ổn giá cũng tốt .cửa hàng có sạc cáp ốp lưng tốt nha sẽ ủng hộ cửa hàng nè .....tặng cửa hàng 5*,,,Positive,,,,,Positive,,,,Positive,,Positive,219548577,3,
lỗi màn hình sai màu,,,,Negative,,,,,,,,,,,219548578,3,
"nhóm màu: vàng màn hình bị đốm nhỏ, pin sử dụng mau hết. không đủ một ngày. nói chung chỉ tạm ổn trong tầm giá.",Negative,,,Negative,,,,Neutral,,,,,,,219548579,3,
"máy về rồi, không biết dubgf như nào, nói chung phải dubgf lâu mới biết được",,,,,,,,,,,,Neutral,,,219548580,3,
"chất lượng sản phẩm: hiệu năng background kém, reload app liên tục. đúng với mô tả: ram thực tế thấp hơn ghi. tính năng nổi bật: multitasking thất vọng. review: swap app là phải chờ load, pin tụt nhanh, chăm sóc khách hàng chỉ hướng dẫn reset",Negative,,Negative,,,Negative,,,,Negative,,,,,219548581,3,
"chất lượng sản phẩm: phần mềm cài sẵn app rác. đúng với mô tả: rom sạch như quảng cáo nhưng không. tính năng nổi bật: app chạy nền ngốn pin. review: pop-up quảng cáo nhiều, phải gỡ thủ công, máy lag nhẹ, chăm sóc khách hàng chỉ gợi ý reset",Negative,,,,,Negative,,,,Neutral,,,,,219548582,3,
màu sắc: đen phân loại: nguyên seal +sạc 18w tốt mới tinh,,,,,,,,,,,,Positive,,,219548583,3,
now hanging giao hàng nhanh chất lượng giống một thời gian mới đánh giá được hi vọng tốt không biết đã xuất hóa đơn chưa để còn đăng ký bảo hành xin cảm ơn,,,,,,,,,Neutral,,,,,,219548584,3,
"nhóm màu: đen dung lượng lưu trữ rộng rãi 128gb, chất lượng máy ảnh tuyệt vời để chụp lại khoảnh khắc, màn hình sống động với độ phân giải full hd+,",,Positive,,Positive,,,,,,,,,,,219548585,3,
hiệu năng giật khi dùng mạng 5g shipping chậm chăm sóc khách hàng không hỗ trợ,,,Negative,,,,,,,Negative,,,,,219548586,3,
"tạm ổn. xem youtube hay bị lỗi cấu hình, pin 6000 nhưng hao pin nhanh.",Negative,,,,,Negative,,,,,,,,,219548587,3,
"color: đen-2xl bền và lâu dài, thiết kế phong cách và hợp thời trang, vừa vặn thoải mái và rộng rãi,",,,,,,,,,,,,,Neutral,,219548588,3,
chất lượng sản phẩm: tốt đúng với mô tả: đúng ngon,,,,,,,,,,,,Positive,,,219548589,3,
"thất vọng chất lượng tồi linh kiện thay thế không chính hãng,",,,,,,,,,,,,Negative,,,219548590,3,
"nhóm màu: đen khe cắm sim kép tiện lợi, trải nghiệm người sử dụng mượt mà và liền mạch, trải nghiệm người sử dụng mượt mà và liền mạch, tuổi thọ pin lâu dài,",Positive,,Positive,,Positive,,,,,,,,,,219548591,3,
"tính năng nổi bật: chơi game chất lượng sản phẩm: tốt trong tầm giá đúng với mô tả: đúng mô tả mua lần đầu chờ thời gian sử dụng sẽ đánh giá sau, giao hơi lâu nhưng đúng thời gian hẹn, hàng chính hãng, săn được giá 3,5tr ổn áp, chụp hình hơi chậm",,Negative,,,,,,Positive,,,,,,,219548592,3,
phân loại sản phẩm: đen sản phẩm giống như mô tả,,,,,,,,,,,,Neutral,,,219548593,3,
"điện thoại cũ tân trang lại, sử dụng được 2 tuần máy đơ, loạn cảm ứng, rất tệ, đúng của nợ. dẹp ...",,,Negative,Negative,,,,,,,,,,,219548594,3,
máy đẹp,,,,,,,,,,,,Positive,,,219548595,3,
đúng với mô tả: màu xanh đúng với mô tả chất lượng sản phẩm: tốt tính năng nổi bật: lướt mạng được xem tiktok lag vô xg bị out ra nhắn tin ổn lướt Facebook ổn cam sắc nét,,Positive,Negative,,,,,,,,,,,,219548596,3,
"cửa hàng uy tín, hài lòng với sản phẩm. chúc cửa hàng bán đắt hàng nghen",,,,,,,,,,Positive,,Positive,,,219548597,3,
tính năng nổi bật: không biết chất lượng sản phẩm: tốt đúng với mô tả: đúng giao hàng nhanh đóng gói cẩn thận điện thoại giá rẻ và chất lượng tốt,,,,,,,Positive,Positive,,,,Neutral,,,219548598,3,
"cửa hàng giao hàng nhanh, đúng sản phẩm, mấy sử dụng rất mượt, rất đáng tin cậy, mọi người hãy yên tâm khi mua sản phẩm bên cửa hàng này nhé.",,,Positive,,,,,,,,,,,,219548599,3,
"chất lượng sản phẩm: camera rất kém. đúng với mô tả: khác xa quảng cáo. tính năng nổi bật: chụp đêm nhiễu. review: camera chụp đêm nhiễu hạt nặng, thua cả máy cũ. máy chạy các app cơ bản cũng giật lag liên tục. đóng hàng sơ sài.",,Negative,Negative,,,Negative,Negative,,,,,,,,219548600,3,
"chất lượng sản phẩm: kém,hao pin không giống như quảng cáo dung mấy buẫ hư không nhận sim",Negative,,,,,,,,,,,,,,219548601,3,
trước mắt là thấy tốt sử dụng thời gian xem thế nào,,,,,,,,,,,,Positive,,,219548602,3,
mua về sài chưa tới 10 ngày ma cửa hàng nhắn tin trả lại vậy là thui rồi của hàng làm ăn gì đeo chịu tránh nhiệm gì hết làm ăn kiểu này thất đúc chết,,,,,,,,,,Negative,,,,,219548603,3,
"nhựa rẻ tiền lừa đảo camera sau mờ. hàng như đồ secondhand vậy, có vết xước sẵn, cửa hàng còn chụp ảnh sống ảo quá trời.,",,Negative,,,Negative,,,,,,,,,,219548604,3,
pin sạc không đều hay ngắt. camera thiếu chế độ pro. ship giao nhầm người khác.,Negative,Negative,,,,,,,,,,,,,219548605,3,
hỏi cửa hàng có nfc không. cửa hàng bảo có. mà về sử dụng không có,,,,,,,,,,Negative,,,,,219548606,3,
